Material Name,Type,Category,Current Stock,Unit,Min Stock Level,Max Storage Capacity,Reorder Point,Supplier Name,Cost Per Unit,Batch Number,Quality Grade,Image URL
"Premium Cotton Yarn","Cotton","Yarn",500,kg,50,1000,100,"Rajdhani Textiles Ltd",450,"PO-2024-001","A+",""
"Pure Silk Fabric","Silk","Fabric",200,meters,20,500,40,"Silk Threads India",1200,"PO-2024-002","A",""
"Reactive Dye Blue","Chemical","Dye",150,liters,15,300,30,"Chemical Dyes Corp",350,"PO-2024-003","A",""
"Polyester Thread 40s","Polyester","Thread",300,kg,30,600,60,"Premium Yarns & Fibers",280,"PO-2024-004","A",""
"Backing Cloth Heavy Duty","Cotton","Fabric",400,sqm,40,800,80,"Backing Materials Ltd",85,"PO-2024-005","A",""
"Wool Fiber Natural","Wool","Fiber",250,kg,25,500,50,"Wool Suppliers Pvt Ltd",650,"PO-2024-006","A+",""
"Chemical Coating","Chemical","Coating",100,liters,10,200,20,"Chemical Dyes Corp",450,"PO-2024-007","A",""
"Adhesive Glue Industrial","Chemical","Adhesive",80,kg,8,160,16,"Adhesive Solutions",320,"PO-2024-008","A",""
"Jute Fiber Raw","Jute","Fiber",300,kg,30,600,60,"Quality Fibers Co",180,"PO-2024-009","B",""
"Linen Thread Fine","Linen","Thread",150,kg,15,300,30,"Premium Yarns & Fibers",420,"PO-2024-010","A",""
"Marble Powder Fine","Marble","Filler",120,kg,12,240,24,"Quality Fibers Co",35,"PO-2024-011","A",""
"Felt Underlay Premium","Felt","Underlay",200,sqm,20,400,40,"Backing Materials Ltd",120,"PO-2024-012","A",""
"Viscose Yarn Soft","Viscose","Yarn",180,kg,18,360,36,"Rajdhani Textiles Ltd",380,"PO-2024-013","A",""
"Acrylic Fiber","Acrylic","Fiber",220,kg,22,440,44,"Premium Yarns & Fibers",290,"PO-2024-014","B",""
"Bamboo Fiber Natural","Bamboo","Fiber",160,kg,16,320,32,"Quality Fibers Co",520,"PO-2024-015","A+",""
